OID,param,emissions
664,Total,131.187042
665,Total,155.114044
666,Total,173.16751
667,Total,89.875434
668,Total,80.293167
669,Total,128.843582
670,Total,63.393131
671,Total,121.575408
672,Total,133.810119
673,Total,100.207557
674,Total,34.983959
675,Total,45.562091
676,Total,18.109594
677,Total,27.221818
678,Total,25.670373
679,Total,17.939184
680,Total,34.100223
681,Total,255.861755
682,Total,305.187683
683,Total,363.946014
684,Total,401.847076
685,Total,288.729064
686,Total,369.227447
687,Total,180.335006
688,Total,216.886306
689,Total,67.65036
690,Total,115.232284
691,Total,73.095115
692,Total,133.020965
693,Total,127.306503
694,Total,215.312423
695,Total,110.235061
696,Total,226.838851
697,Total,218.436203
698,Total,193.745193
699,Total,229.181747
700,Total,191.46434
701,Total,373.160003
702,Total,263.088165
705,Total,122.844223
706,Total,175.570358
707,Total,268.498901
708,Total,368.001586
709,Total,375.812866
710,Total,457.295776
711,Total,365.104736
712,Total,182.717651
713,Total,140.208923
714,Total,144.360351
715,Total,106.866493
716,Total,109.501808
717,Total,128.599411
718,Total,181.771636
719,Total,48.98236
720,Total,59.818607
721,Total,27.828821
723,Total,48.575019
724,Total,35.336257
725,Total,6.128967
726,Total,373.1875
727,Total,280.544647
728,Total,415.823516
729,Total,407.769897
730,Total,287.088317
731,Total,306.920196
732,Total,168.14215
733,Total,168.256271
734,Total,192.327331
735,Total,282.102508
736,Total,86.720115
737,Total,269.581604
738,Total,205.602874
739,Total,131.665756
740,Total,113.968803
741,Total,164.527465
742,Total,196.591278
743,Total,211.569839
744,Total,187.895492
745,Total,193.879882
746,Total,503.41333
747,Total,121.764221
749,Total,109.943855
750,Total,210.566711
751,Total,264.153778
752,Total,267.295471
753,Total,84.716651
754,Total,124.421501
755,Total,178.785034
756,Total,159.016921
757,Total,194.218536
758,Total,158.973541
759,Total,108.239242
760,Total,184.248245
761,Total,95.856796
762,Total,74.573646
763,Total,81.747886
764,Total,45.028335
765,Total,98.33377
766,Total,112.810394
767,Total,77.612472
768,Total,60.898288
769,Total,3.424254
770,Total,452.961975
771,Total,560.68872
772,Total,383.876281
773,Total,323.759735
774,Total,481.777313
775,Total,379.75531
776,Total,311.67453
777,Total,265.134918
778,Total,216.436309
779,Total,252.657379
780,Total,245.406555
781,Total,203.865859
782,Total,247.293853
783,Total,221.111221
784,Total,200.323898
785,Total,117.309707
786,Total,166.394073
787,Total,245.794815
788,Total,192.622375
789,Total,309.44931
790,Total,67.652153
791,Total,217.083221
793,Total,183.53746
794,Total,137.013092
795,Total,139.302841
796,Total,166.325668
797,Total,75.810295
798,Total,64.910926
799,Total,220.499694
800,Total,168.330505
801,Total,177.721359
802,Total,108.20787
803,Total,112.203361
804,Total,188.699707
805,Total,79.286102
806,Total,230.495712
807,Total,87.187316
808,Total,114.781173
809,Total,58.90879
810,Total,67.281028
811,Total,25.676279
812,Total,733.43225
813,Total,372.64862
814,Total,434.720001
815,Total,432.953704
816,Total,372.530029
817,Total,339.548706
818,Total,276.824645
819,Total,283.083709
820,Total,271.863708
821,Total,265.491302
822,Total,160.217758
823,Total,236.178176
824,Total,175.539077
825,Total,170.836441
826,Total,130.241195
827,Total,301.379638
828,Total,269.489837
829,Total,149.246658
830,Total,185.329666
831,Total,144.080352
832,Total,60.019966
834,Total,187.348922
835,Total,182.785552
836,Total,194.577026
837,Total,183.21527
838,Total,79.230644
839,Total,68.678375
840,Total,250.840621
841,Total,442.899322
842,Total,203.531921
843,Total,147.233428
844,Total,124.190032
845,Total,298.091522
846,Total,103.979331
847,Total,97.252456
848,Total,39.361408
849,Total,91.164207
850,Total,70.936897
851,Total,540.68048
852,Total,550.8479
853,Total,635.067199
854,Total,697.014221
855,Total,415.523895
856,Total,422.09613
857,Total,463.390289
858,Total,399.414154
859,Total,336.996185
860,Total,429.53955
861,Total,358.476531
862,Total,205.192871
863,Total,203.751037
864,Total,226.589355
865,Total,311.332977
866,Total,150.273986
867,Total,224.295013
868,Total,191.701995
869,Total,290.88977
870,Total,129.540481
871,Total,220.66539
872,Total,230.916595
873,Total,615.168457
874,Total,294.972595
876,Total,288.54132
877,Total,211.078811
878,Total,89.879364
879,Total,206.848846
880,Total,90.153305
881,Total,107.362457
882,Total,381.602294
883,Total,372.108001
884,Total,191.510131
885,Total,690.876647
886,Total,83.111488
887,Total,38.796634
888,Total,50.006381
889,Total,70.719802
890,Total,101.860466
891,Total,85.504547
892,Total,37.198013
893,Total,28.97195
894,Total,2.784396
895,Total,524.308898
896,Total,594.518737
897,Total,285.409393
898,Total,288.220764
899,Total,384.897094
