OID,param,emissions
859,Total,0.951485
860,Total,0.774523
861,Total,0.643583
862,Total,0.319624
863,Total,0.439025
864,Total,0.432862
865,Total,0.627769
866,Total,0.205403
867,Total,0.490978
868,Total,0.510319
869,Total,0.749808
870,Total,0.432243
871,Total,0.44968
872,Total,0.864785
875,Total,0
876,Total,0.399418
877,Total,0.682526
878,Total,0.646852
879,Total,0.806221
880,Total,0.618364
881,Total,1.263518
882,Total,1.859686
883,Total,1.12599
885,Total,0.773014
887,Total,0.168646
888,Total,0.168748
889,Total,0.233108
890,Total,0.225039
891,Total,0.188568
892,Total,0.131765
895,Total,0.681255
896,Total,0.864645
897,Total,1.006201
898,Total,0.866777
899,Total,1.184826
900,Total,1.245807
901,Total,0.991889
902,Total,0.973216
903,Total,1.003852
904,Total,0.520752
905,Total,0.279332
906,Total,0.426287
907,Total,0.72611
908,Total,0.828163
909,Total,0.528021
910,Total,0.281247
911,Total,0.322719
912,Total,0.81828
913,Total,0.535065
914,Total,0.481138
915,Total,0.861224
916,Total,0.827763
917,Total,0.832043
920,Total,0.407588
921,Total,0.660571
922,Total,1.015727
923,Total,0.879622
924,Total,0.90631
925,Total,1.288053
926,Total,2.204377
927,Total,1.004686
930,Total,0.247299
931,Total,0.217702
932,Total,0.18493
933,Total,0.270798
934,Total,0.221979
938,Total,0.585329
939,Total,2.212909
940,Total,2.616409
941,Total,0.775887
942,Total,0.898386
943,Total,0.968311
944,Total,0.658139
945,Total,0.655676
946,Total,0.90804
947,Total,0.507232
948,Total,0.324995
949,Total,0.489015
950,Total,0.393231
951,Total,0.60296
952,Total,1.150992
953,Total,1.024749
954,Total,0.693952
955,Total,0.665891
956,Total,0.735329
957,Total,1.249327
961,Total,1.174686
962,Total,1.182873
963,Total,1.133017
964,Total,1.001989
965,Total,0.993039
966,Total,0.72376
967,Total,0.948892
968,Total,1.834316
969,Total,0.102172
972,Total,0.165714
973,Total,0.108568
974,Total,0.136882
979,Total,0.759722
980,Total,0.69693
