OID,param,emissions
594,Total,116.502952
595,Total,7.014049
596,Total,12.691049
597,Total,10.882287
598,Total,10.260431
599,Total,7.933009
600,Total,6.620069
601,Total,43.667152
602,Total,14.889583
603,Total,15.978507
604,Total,29.404129
605,Total,15.570396
606,Total,20.949012
607,Total,18.34431
608,Total,23.896034
609,Total,27.93828
610,Total,12.6631
611,Total,18.505182
612,Total,9.138906
613,Total,4.035433
614,Total,53.338752
616,Total,8.814885
617,Total,10.923792
618,Total,47.814853
619,Total,23.730093
620,Total,15.591484
621,Total,32.239589
622,Total,27.465158
623,Total,9.525558
624,Total,13.887745
625,Total,5.121032
626,Total,5.801416
627,Total,8.044713
628,Total,6.369048
629,Total,8.431751
630,Total,1.914641
631,Total,4.708782
632,Total,3.786766
633,Total,6.138242
634,Total,3.854218
635,Total,3.1995
636,Total,1.537403
637,Total,116.110908
638,Total,116.502952
639,Total,7.014049
640,Total,12.691049
641,Total,7.599503
642,Total,14.232054
643,Total,13.089744
644,Total,9.940765
645,Total,45.690464
646,Total,5.728848
647,Total,10.244447
648,Total,8.353359
649,Total,5.540453
650,Total,6.50822
651,Total,15.735324
652,Total,18.37561
653,Total,22.282409
654,Total,13.159826
655,Total,19.205625
656,Total,58.435157
657,Total,44.044399
658,Total,6.265023
660,Total,8.814885
661,Total,10.923792
662,Total,47.814853
663,Total,23.730093
664,Total,15.591484
665,Total,32.239589
666,Total,27.465158
667,Total,9.525558
668,Total,13.887745
669,Total,5.121032
670,Total,6.964194
671,Total,5.68254
672,Total,15.221171
673,Total,6.550632
674,Total,1.935748
675,Total,7.99956
676,Total,7.045329
677,Total,1.969213
678,Total,2.100912
679,Total,1.981757
680,Total,2.574108
681,Total,183.428588
682,Total,121.943222
683,Total,15.715123
684,Total,14.926097
685,Total,17.501688
686,Total,7.599503
687,Total,14.232054
688,Total,13.089744
689,Total,9.940765
690,Total,45.690464
691,Total,5.728848
692,Total,10.244447
693,Total,8.353359
694,Total,5.540453
695,Total,6.50822
696,Total,15.735324
697,Total,18.37561
698,Total,22.282409
699,Total,13.159826
700,Total,19.205625
701,Total,58.435157
702,Total,44.044399
703,Total,6.265023
705,Total,47.860607
706,Total,30.17583
707,Total,32.214435
708,Total,42.587642
709,Total,20.816043
710,Total,44.615863
711,Total,21.656568
712,Total,13.545236
713,Total,17.379783
714,Total,6.886685
715,Total,5.269743
716,Total,6.1345
717,Total,13.539638
718,Total,13.792144
719,Total,2.125524
720,Total,8.186682
721,Total,5.01545
723,Total,2.963958
724,Total,2.336091
725,Total,4.720829
726,Total,191.446456
727,Total,23.482135
728,Total,21.798959
729,Total,17.204055
730,Total,14.887612
731,Total,11.177295
732,Total,13.956866
733,Total,20.168512
734,Total,6.713485
735,Total,8.296046
736,Total,6.064335
737,Total,5.907661
738,Total,6.901764
739,Total,4.300394
740,Total,7.845225
741,Total,7.890835
742,Total,16.718502
743,Total,23.453268
744,Total,20.927104
745,Total,18.008115
746,Total,26.964038
747,Total,15.786047
749,Total,21.243953
750,Total,22.164913
751,Total,28.385227
752,Total,35.048332
753,Total,9.622225
754,Total,18.861587
755,Total,23.324565
756,Total,14.268301
757,Total,17.584018
758,Total,17.867475
759,Total,7.277079
760,Total,12.696934
761,Total,5.69091
762,Total,5.021832
763,Total,5.166082
764,Total,2.825546
765,Total,11.805737
766,Total,4.977107
767,Total,8.77628
768,Total,4.192008
769,Total,2.907979
770,Total,197.511291
771,Total,137.440994
772,Total,20.447517
773,Total,12.041205
774,Total,14.632826
775,Total,12.388289
776,Total,14.449337
777,Total,8.746621
778,Total,9.876785
779,Total,10.388738
780,Total,8.449342
781,Total,9.740073
782,Total,5.920952
783,Total,5.756383
784,Total,7.269323
785,Total,5.481572
786,Total,22.927553
787,Total,21.090675
788,Total,20.945112
789,Total,15.505344
790,Total,17.451416
791,Total,10.927439
793,Total,24.295886
794,Total,19.434467
795,Total,23.019765
796,Total,19.426561
797,Total,9.448642
798,Total,11.022715
799,Total,30.988145
800,Total,22.223953
801,Total,20.335382
802,Total,8.633123
803,Total,12.657673
804,Total,12.888659
805,Total,3.769216
806,Total,14.920492
807,Total,9.975989
808,Total,7.847262
809,Total,7.131923
810,Total,4.891623
811,Total,4.271414
812,Total,130.744338
813,Total,18.766
814,Total,17.15031
815,Total,9.926938
816,Total,18.940103
817,Total,15.417665
818,Total,17.945888
819,Total,10.29638
820,Total,10.31857
821,Total,13.358865
822,Total,14.012216
823,Total,5.825482
824,Total,8.016957
825,Total,4.864037
826,Total,6.076681
827,Total,19.671047
828,Total,13.901815
829,Total,18.267686
830,Total,12.806279
831,Total,13.922943
832,Total,7.510981
834,Total,23.510097
835,Total,23.28359
836,Total,20.702184
837,Total,23.828409
