OID,density
322,145.041091
323,148.166244
324,106.934486
325,83.463928
326,53.576107
327,35.832237
328,15.665858
329,11.527577
330,282.821777
331,472.455627
332,245.738037
333,265.217315
334,124.648803
335,71.780143
336,68.189193
337,52.712821
338,56.026863
339,118.675895
340,99.101562
341,179.530258
342,268.999755
343,213.42366
345,289.086944
346,375.987243
347,448.528228
348,295.152038
349,295.152038
351,392.922851
352,313.404205
356,963.263916
360,154.241714
361,159.173004
362,127.821434
363,80.717071
364,57.025856
365,55.920776
366,24.570266
367,16.723192
368,9.952527
369,152.752075
370,686.314147
371,663.12738
372,316.927917
373,381.177032
374,128.164916
375,75.713714
376,89.812934
378,143.280181
379,291.839538
380,215.760253
381,173.671112
382,232.024108
383,186.591049
384,238.064727
385,192.704879
386,256.532135
387,188.802108
388,175.656127
389,43.808837
390,43.808837
391,375.479705
392,566.348693
396,557.500183
405,67.081748
406,142.215301
407,117.540451
408,107.810379
409,52.04639
410,39.266941
411,35.460186
412,15.787613
413,8.298644
414,192.599624
415,700.087097
416,367.61026
417,413.787658
418,506.504211
419,300.656219
420,144.664169
421,348.095703
422,299.247314
423,389.513275
424,435.336578
425,368.659393
426,189.781646
427,240.228057
428,219.352478
429,182.456466
430,190.613983
431,221.05693
432,163.6082
433,174.451568
434,20.410057
435,20.410057
436,274.597991
437,454.800354
445,158.87796
446,123.28701
449,100.997123
450,106.054817
451,130.936447
452,115.456611
453,101.602165
454,64.087509
455,35.998455
456,27.387838
457,15.226021
458,8.115082
459,563.118652
460,473.247314
461,373.979949
462,449.960479
463,607.85144
465,155.245925
466,380.104919
467,265.782897
468,343.28009
469,414.176361
470,361.034545
471,291.366943
472,240.507629
473,248.545791
474,157.401275
475,183.320648
476,230.60556
477,187.793609
478,139.799942
479,102.09407
480,322.201721
481,322.201721
486,89.907386
490,201.357208
493,148.634384
494,92.735107
495,113.955703
496,197.379806
497,163.673828
498,173.722274
499,111.999603
500,87.737144
501,50.217124
502,34.140132
503,8.369077
504,658.98236
506,787.244079
507,643.181274
508,792.468627
510,399.116973
511,204.970458
512,312.832672
513,414.084716
514,366.908416
515,340.141998
516,275.466644
517,219.788681
518,282.222808
519,190.278625
520,169.366668
521,277.447326
522,209.978134
524,588.127685
525,298.775085
526,298.775085
529,289.492828
530,420.205993
531,372.304321
532,67.840858
537,125.901641
538,136.353637
539,139.060852
540,160.103836
541,170.221496
542,204.12117
543,168.950607
545,74.06594
546,84.597747
547,38.186351
548,16.85221
549,423.807159
550,661.60852
551,752.318176
552,894.056396
553,1023.645812
554,280.113281
555,383.785614
556,261.038208
557,260.758361
558,292.910125
559,317.177276
560,354.572631
561,261.971801
562,237.475708
563,225.218002
564,256.468048
565,266.041076
566,192.069534
567,185.208602
568,119.413185
569,539.547363
573,337.255828
574,342.316558
575,166.757186
576,106.159301
577,222.242248
581,55.76028
582,81.584884
583,158.601181
584,176.649795
585,151.062103
586,114.780487
587,139.707138
588,90.624282
589,60.402286
590,66.429824
591,67.799041
592,43.914508
593,690.553466
594,1137.03955
595,983.364379
596,1173.966308
597,562.89331
598,532.280334
599,563.395629
600,283.449707
601,432.045196
602,153.389312
603,170.581359
604,259.333984
605,199.608856
606,209.507888
607,279.480773
608,257.525238
609,400.250976
610,208.9263
613,147.332931
615,59.072807
616,232.508377
617,232.508377
618,176.752471
619,218.036239
620,178.223892
621,241.622695
622,171.941726
623,87.35913
624,41.080749
625,84.289459
626,85.259956
627,153.216339
628,199.618103
629,171.547286
630,83.900405
631,161.503753
632,64.380805
633,70.10308
634,51.542869
635,67.799041
636,43.914508
637,920.753356
638,1363.705566
639,1149.642211
640,1125.337158
641,762.998168
642,340.29187
643,263.630676
644,257.661499
645,186.304962
646,136.255889
647,120.567665
648,195.669967
649,103.895286
650,176.120773
651,164.49855
652,180.575576
653,345.997192
654,288.03186
655,367.026031
656,319.398864
657,92.880699
659,204.880691
660,247.288208
661,390.968048
662,390.968048
663,351.905975
664,294.72052
665,367.581146
666,541.503112
667,208.894378
668,88.244651
669,90.094696
670,87.797637
671,144.357803
672,212.550506
673,171.547286
674,83.900405
675,161.503753
676,64.380805
677,70.10308
678,51.542869
679,52.930236
680,26.622394
681,451.09674
682,1167.989624
683,1297.758544
684,1099.302612
685,1027.138671
686,668.015869
687,421.652038
688,472.598876
689,348.79309
690,122.380981
691,162.879608
692,216.496368
693,128.33992
694,93.332298
695,120.537605
696,220.382904
697,317.844512
698,324.005981
699,293.245208
700,493.914489
701,169.195877
703,120.798171
704,317.566833
705,373.164825
706,358.332763
707,92.841094
708,92.841094
709,80.486335
710,367.581146
711,541.503112
712,208.894378
713,88.244651
714,90.094696
715,87.797637
716,144.357803
717,212.550506
718,179.218994
719,89.95169
720,147.288208
721,114.711212
723,52.50336
724,65.780548
725,21.409067
726,451.09674
727,1167.989624
728,1297.758544
729,1099.302612
730,1027.138671
731,668.015869
732,421.652038
733,472.598876
734,348.79309
735,122.380981
736,162.879608
737,216.496368
738,128.33992
739,93.332298
740,120.537605
741,220.382904
742,317.844512
743,324.005981
744,293.245208
745,493.914489
746,169.195877
748,120.798171
749,317.566833
750,373.164825
751,358.332763
752,92.841094
753,80.486335
754,80.486335
755,192.847427
756,636.402282
757,266.988403
758,73.544166
759,54.974357
760,97.743812
761,151.672821
762,102.281509
763,99.329208
764,85.873847
765,220.263458
766,130.037521
767,66.887298
768,79.974723
769,31.355106
770,472.909942
771,1176.845825
772,1384.105468
773,1416.818847
774,1417.711059
775,958.313354
776,588.628173
777,491.052337
778,302.452484
779,246.866394
780,260.856872
781,170.966629
782,152.718399
783,129.856582
784,111.770645
785,194.099105
786,364.357055
787,291.453765
788,438.533966
789,193.928588
790,42.566974
792,214.749114
793,184.086242
794,248.026199
795,203.370223
796,90.491134
797,104.040679
798,284.660675
799,341.933837
800,341.933837
801,93.283393
802,50.580547
803,68.58686
804,206.070281
805,295.687469
806,235.562683
807,235.504592
808,140.906295
809,118.750694
810,94.953697
811,47.416023
812,887.483154
813,1202.676391
814,1305.462158
815,859.15924
816,898.919311
817,566.191955
818,348.486511
819,359.745544
820,401.944274
821,269.892364
822,162.822906
823,122.35823
824,170.258361
825,136.732833
826,334.502075
827,363.532073
828,294.59967
829,476.511871
830,410.479278
831,121.153778
833,289.381652
834,173.947662
835,232.032821
836,227.61087
837,105.180084
838,174.827514
839,304.957885
840,214.762573
841,60.278755
842,38.194011
843,38.194011
844,95.445915
845,378.80661
846,294.379577
847,175.816421
848,136.064102
849,155.5457
850,90.049079
851,215.583526
852,312.769622
853,355.053863
854,778.609313
855,1140.870117
856,1052.06726
857,885.709777
858,666.754638
859,622.262817
860,417.121063
861,425.733184
862,481.626037
863,303.463134
864,213.626007
865,146.92691
866,137.000717
867,237.474197
868,371.641357
869,252.642166
870,416.523193
871,572.120178
872,938.255432
873,625.930297
874,117.936981
875,356.281127
876,261.964721
877,190.927413
878,261.858093
879,129.068771
880,108.871055
881,262.390228
882,228.347549
883,224.451797
884,311.90213
885,79.585227
886,50.140995
887,70.184135
888,93.893608
889,200.005325
890,183.921707
891,158.861724
892,132.890548
893,60.156417
894,7.532281
895,351.289428
896,706.604309
897,833.78302
898,1406.352172
899,1291.45642
900,1057.996459
901,1017.549072
902,772.283081
903,584.184631
904,505.506835
905,524.374084
906,450.938568
907,622.233032
908,279.12268
909,196.663146
910,204.354461
911,262.372009
912,537.976867
913,649.32312
914,389.654602
915,416.862304
916,233.088439
919,343.930572
920,323.74179
921,349.798278
922,331.921936
923,284.234771
924,122.466445
925,171.289138
926,180.801956
927,69.894805
928,82.419212
929,60.564395
930,92.229454
931,74.054916
932,185.160995
933,185.160995
934,118.964103
935,85.833496
936,26.978563
937,19.939641
938,1077.533691
939,1362.564697
940,1165.605712
941,1070.289306
942,967.477539
943,863.520874
944,572.023803
945,565.630187
946,675.042663
947,840.316833
948,459.997253
949,446.837799
950,425.227661
951,393.562164
952,421.426422
953,460.201171
954,799.457153
955,442.451263
956,264.522094
959,20.339296
960,205.331237
961,258.481079
962,357.534637
963,396.635528
964,354.691497
965,295.776458
966,447.111022
967,454.040222
968,243.353881
969,52.005153
970,42.000774
971,73.891174
972,57.255348
973,114.775962
974,61.974449
975,58.855644
976,38.148529
977,13.633492
979,719.562133
980,1154.377197
981,899.453308
982,970.221008
983,823.419433
984,760.803588
985,653.10614
986,693.580322
987,704.647949
988,925.16809
989,587.564575
990,473.480682
991,476.721496
992,500.114959
993,566.444824
994,588.523193
997,76.295364
998,107.72866
999,192.343307
1000,199.951797
1001,197.471954
1002,234.953033
1003,331.961395
1004,300.506134
1005,389.424652
1006,386.497924
1007,673.062744
1008,543.689147
1009,103.994728
1010,52.881145
1011,37.80191
1012,16.243818
1013,24.555671
1014,20.173599
1016,868.753173
1017,1166.896972
1018,1236.968505
1019,1187.112304
1020,927.007934
1021,870.171142
1022,761.599182
